segment,time_s,elapsed_s,latitude_deg,longitude_deg,gps_alt_msl_m,gps_north_rel_m,gps_east_rel_m,gps_up_rel_m,ekf_north_rel_m,ekf_east_rel_m,ekf_up_rel_m,north_residual_m,east_residual_m,horizontal_residual_m,vertical_residual_m,gps_vel_n_m_s,gps_vel_e_m_s,gps_vel_d_m_s,eph_m,epv_m,satellites,fix_type
1,6.864072,0.0009790000000000632,37.5989645,108.8747808,1375.76,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.19100001454353333,0.0690000057220459,-0.21800000965595245,1.617168664932251,2.0860400199890137,28,3
1,7.063245,0.2001520000000001,37.5989652,108.8747807,1375.95,0.07783644839309822,-0.00880998130221201,0.19000000000005457,0.06653205819736752,0.03461884670546511,0.2703960839662829,0.011304390195730707,-0.043428828007677125,0.044875966171412214,-0.08039608396622833,0.6740000247955322,-0.11700000613927841,-1.5520000457763672,1.6189792156219482,2.087911605834961,28,3
1,7.263299,0.40020599999999984,37.598966000000004,108.8747812,1377.03,0.16679238991901268,0.035239926329673155,1.2699999999999818,0.2370575839091129,0.2888240150762482,1.536483941919564,-0.07026519399010023,-0.25358408874657506,0.2631389130324462,-0.26648394191958213,1.1690000295639038,0.6000000238418579,-6.570000171661377,1.6189792156219482,2.0897817611694336,28,3
1,7.469162,0.6060689999999997,37.5989659,108.87478610000001,1379.31,0.15567289749351954,0.46692902022548766,3.5499999999999545,0.5256692436586444,1.0273215369286288,3.9116323118019327,-0.3699963461651249,-0.5603925167031412,0.6715184799783422,-0.3616323118019782,-0.24700000882148743,3.635000228881836,-13.058000564575195,1.6207878589630127,2.096313714981079,28,3
1,7.662699,0.7996059999999998,37.5989646,108.8747954,1382.1100000000001,0.01111949242549315,1.2862572981435814,6.350000000000136,0.7467932026139555,1.9592858925895942,6.443735765123787,-0.7356737101884624,-0.6730285944460128,0.9970874068026501,-0.09373576512365034,-0.7160000205039978,4.578000068664551,-13.60200023651123,1.625,2.102825403213501,28,3
1,7.863215,1.0001220000000002,37.598963,108.8748065,1384.63,-0.16679239062633577,2.2641652439847917,8.870000000000118,0.7498434750479205,2.9664034490101,8.768294581870355,-0.9166358656742563,-0.7022382050253082,1.1547120016859442,0.10170541812976275,-1.0520000457763672,5.088000297546387,-11.824000358581543,1.62980055809021,2.111168146133423,28,3
1,8.060856,1.1977629999999992,37.5989609,108.8748181,1386.81,-0.40030173580563044,3.286123096337062,11.049999999999955,0.5152661784674951,3.9988418054937482,10.73281196816251,-0.9155679142731256,-0.7127187091566864,1.1602726248724542,0.3171880318374445,-1.1980000734329224,5.181000232696533,-10.142000198364258,1.6339895725250244,2.1167118549346924,28,3
1,8.263298,1.4002050000000006,37.5989589,108.8748298,1388.72,-0.6226915899740781,4.316890931112369,12.960000000000036,0.12943026850832318,5.095595004384368,12.421904147456074,-0.7521218584824013,-0.7787040732719985,1.0826205816154721,0.5380958525439627,-0.8160000443458557,5.145000457763672,-8.449000358581543,1.6369750499725342,2.125,28,3
1,8.469272,1.606179,37.5989575,108.874842,1390.2,-0.7783644874675977,5.391708673519562,14.440000000000055,-0.2677192913428966,6.224556938319154,13.812718295693566,-0.510645196124701,-0.8328482647995914,0.9769312915988129,0.6272817043064887,-0.7480000257492065,5.428000450134277,-6.926000118255615,1.6387637853622437,2.1314241886138916,28,3
1,8.664134,1.8010410000000006,37.598956,108.874855,1391.3700000000001,-0.9451568766792873,6.53700626634445,15.610000000000127,-0.5902641113603584,7.31284404710761,14.846096684255631,-0.3548927653189289,-0.77583778076316,0.8531548141663513,0.7639033157444963,-0.9900000691413879,5.8550004959106445,-5.522000312805176,1.6399551630020142,2.137828826904297,28,3
1,8.864079,2.000986,37.5989543,108.8748689,1392.24,-1.1341882521566093,7.761593694251723,16.480000000000018,-0.8897753055698785,8.493603764941026,15.624899329339232,-0.24441294658673085,-0.7320100706893031,0.7717359859756229,0.8551006706607858,-0.8220000267028809,6.142000198364258,-3.8550002574920654,1.6411457061767578,2.145125389099121,28,3
